Date : 2025-04-02 16:42:23
Directory : c:\Users\le.chen\Documents\tmp\final
Total : 161 files,  28084 codes, 895 comments, 1665 blanks, all 30644 lines

Languages
+----------------------+------------+------------+------------+------------+------------+
| language             | files      | code       | comment    | blank      | total      |
+----------------------+------------+------------+------------+------------+------------+
| JSON                 |          6 |     15,998 |          0 |          6 |     16,004 |
| Vue.js               |         33 |      5,756 |        196 |        731 |      6,683 |
| Python               |        103 |      2,740 |        362 |        710 |      3,812 |
| MS SQL               |          2 |      2,572 |        264 |         84 |      2,920 |
| JavaScript JSX       |          3 |        519 |         62 |         96 |        677 |
| source.markdown.math |          2 |        222 |          0 |          8 |        230 |
| JavaScript           |          7 |        144 |          8 |         21 |        173 |
| pip requirements     |          1 |         86 |          0 |          1 |         87 |
| JSON with Comments   |          1 |         22 |          0 |          1 |         23 |
| HTML                 |          1 |         16 |          1 |          1 |         18 |
| Properties           |          2 |          9 |          2 |          6 |         17 |
+----------------------+------------+------------+------------+------------+------------+

Directories
+----------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                               | files      | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                  |        161 |     28,084 |        895 |      1,665 |     30,644 |
| . (Files)                                                                                          |          4 |        843 |          2 |          8 |        853 |
| .ipynb_checkpoints                                                                                 |          3 |         17 |          0 |          5 |         22 |
| app                                                                                                |        105 |      5,393 |        626 |        792 |      6,811 |
| app (Files)                                                                                        |          2 |         64 |         17 |         21 |        102 |
| app\api                                                                                            |         20 |      1,063 |        134 |        229 |      1,426 |
| app\api (Files)                                                                                    |          6 |        587 |        110 |        116 |        813 |
| app\api\ambulance                                                                                  |          3 |        142 |         10 |         37 |        189 |
| app\api\check                                                                                      |          2 |         65 |          5 |         17 |         87 |
| app\api\medicine                                                                                   |          2 |         64 |          0 |         17 |         81 |
| app\api\patient                                                                                    |          3 |         75 |          4 |         16 |         95 |
| app\api\personnel                                                                                  |          2 |         76 |          1 |         14 |         91 |
| app\api\record                                                                                     |          2 |         54 |          4 |         12 |         70 |
| app\core                                                                                           |          3 |         18 |          9 |          8 |         35 |
| app\crud                                                                                           |         16 |        371 |         31 |        108 |        510 |
| app\crud (Files)                                                                                   |          9 |        242 |         31 |         56 |        329 |
| app\crud\ambulance                                                                                 |          3 |         65 |          0 |         24 |         89 |
| app\crud\check                                                                                     |          2 |         32 |          0 |         14 |         46 |
| app\crud\medicine                                                                                  |          2 |         32 |          0 |         14 |         46 |
| app\db                                                                                             |          3 |         10 |         31 |         11 |         52 |
| app\models                                                                                         |         20 |        285 |         20 |         68 |        373 |
| app\models (Files)                                                                                 |         14 |        206 |         18 |         45 |        269 |
| app\models\check                                                                                   |          3 |         38 |          0 |         13 |         51 |
| app\models\medicine                                                                                |          3 |         41 |          2 |         10 |         53 |
| app\schemas                                                                                        |         18 |        345 |         12 |         95 |        452 |
| app\schemas (Files)                                                                                |          9 |        173 |         11 |         51 |        235 |
| app\schemas\ambulance                                                                              |          3 |         85 |          1 |         17 |        103 |
| app\schemas\check                                                                                  |          3 |         42 |          0 |         12 |         54 |
| app\schemas\medicine                                                                               |          3 |         45 |          0 |         15 |         60 |
| app\services                                                                                       |         17 |        478 |        105 |        148 |        731 |
| app\services (Files)                                                                               |         10 |        366 |         95 |         97 |        558 |
| app\services\ambulance                                                                             |          3 |         64 |          8 |         29 |        101 |
| app\services\check                                                                                 |          2 |         24 |          1 |         11 |         36 |
| app\services\medicine                                                                              |          2 |         24 |          1 |         11 |         36 |
| app\tests                                                                                          |          1 |          0 |          0 |          1 |          1 |
| app\utils                                                                                          |          5 |      2,759 |        267 |        103 |      3,129 |
| frontend                                                                                           |         49 |     21,831 |        267 |        860 |     22,958 |
| frontend (Files)                                                                                   |          7 |     15,440 |          0 |         14 |     15,454 |
| frontend\public                                                                                    |          1 |         16 |          1 |          1 |         18 |
| frontend\src                                                                                       |         41 |      6,375 |        266 |        845 |      7,486 |
| frontend\src (Files)                                                                               |          2 |         41 |          2 |          8 |         51 |
| frontend\src\components                                                                            |         24 |      4,328 |        194 |        611 |      5,133 |
| frontend\src\components (Files)                                                                    |          3 |        523 |         48 |         98 |        669 |
| frontend\src\components\CoreButtoms                                                                |          8 |      1,907 |         63 |        266 |      2,236 |
| frontend\src\components\ScoreValueForm                                                             |          4 |        770 |         36 |         79 |        885 |
| frontend\src\components\Stat                                                                       |          5 |        770 |         19 |        108 |        897 |
| frontend\src\components\utils                                                                      |          4 |        358 |         28 |         60 |        446 |
| frontend\src\router                                                                                |          1 |         55 |          6 |          5 |         66 |
| frontend\src\services                                                                              |          2 |         19 |          0 |          7 |         26 |
| frontend\src\store                                                                                 |          1 |         15 |          0 |          2 |         17 |
| frontend\src\views                                                                                 |         11 |      1,917 |         64 |        212 |      2,193 |
+----------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+----------------------------------------------------------------------------------------------------+----------------------+------------+------------+------------+------------+
| filename                                                                                           | language             | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------+----------------------+------------+------------+------------+------------+
| c:\Users\le.chen\Documents\tmp\final\.env                                                          | Properties           |          6 |          2 |          4 |         12 |
| c:\Users\le.chen\Documents\tmp\final\.ipynb_checkpoints\Untitled-checkpoint.ipynb                  | JSON                 |          6 |          0 |          1 |          7 |
| c:\Users\le.chen\Documents\tmp\final\.ipynb_checkpoints\huggingface-checkpoint.ipynb               | JSON                 |          6 |          0 |          1 |          7 |
| c:\Users\le.chen\Documents\tmp\final\.ipynb_checkpoints\main-checkpoint.py                         | Python               |          5 |          0 |          3 |          8 |
| c:\Users\le.chen\Documents\tmp\final\README.md                                                     | source.markdown.math |        203 |          0 |          2 |        205 |
| c:\Users\le.chen\Documents\tmp\final\Untitled.ipynb                                                | JSON                 |        439 |          0 |          1 |        440 |
| c:\Users\le.chen\Documents\tmp\final\app\__init__.py                                               | Python               |          0 |          0 |          1 |          1 |
| c:\Users\le.chen\Documents\tmp\final\app\api\__init__.py                                           | Python               |          0 |          2 |          2 |          4 |
| c:\Users\le.chen\Documents\tmp\final\app\api\ambulance\ambulance_routers.py                        | Python               |         35 |          3 |         10 |         48 |
| c:\Users\le.chen\Documents\tmp\final\app\api\ambulance\basic_check_routers.py                      | Python               |         47 |          3 |         12 |         62 |
| c:\Users\le.chen\Documents\tmp\final\app\api\ambulance\operation_histories_routers.py              | Python               |         60 |          4 |         15 |         79 |
| c:\Users\le.chen\Documents\tmp\final\app\api\audio_router.py                                       | Python               |        179 |          8 |         32 |        219 |
| c:\Users\le.chen\Documents\tmp\final\app\api\chat.py                                               | Python               |          0 |         17 |          4 |         21 |
| c:\Users\le.chen\Documents\tmp\final\app\api\chat_router.py                                        | Python               |        255 |         15 |         29 |        299 |
| c:\Users\le.chen\Documents\tmp\final\app\api\check\check_histories_routers.py                      | Python               |         29 |          0 |          7 |         36 |
| c:\Users\le.chen\Documents\tmp\final\app\api\check\check_routers.py                                | Python               |         36 |          5 |         10 |         51 |
| c:\Users\le.chen\Documents\tmp\final\app\api\knowledgeGraph.py                                     | Python               |        153 |          9 |         38 |        200 |
| c:\Users\le.chen\Documents\tmp\final\app\api\medicine\medicine_histories_routers.py                | Python               |         29 |          0 |          7 |         36 |
| c:\Users\le.chen\Documents\tmp\final\app\api\medicine\medicine_routers.py                          | Python               |         35 |          0 |         10 |         45 |
| c:\Users\le.chen\Documents\tmp\final\app\api\patient\allergy_routers.py                            | Python               |         23 |          2 |          5 |         30 |
| c:\Users\le.chen\Documents\tmp\final\app\api\patient\medical_history_routers.py                    | Python               |         23 |          2 |          5 |         30 |
| c:\Users\le.chen\Documents\tmp\final\app\api\patient\patient_routers.py                            | Python               |         29 |          0 |          6 |         35 |
| c:\Users\le.chen\Documents\tmp\final\app\api\personnel\department_routers.py                       | Python               |         29 |          0 |          6 |         35 |
| c:\Users\le.chen\Documents\tmp\final\app\api\personnel\health_personnel_router.py                  | Python               |         47 |          1 |          8 |         56 |
| c:\Users\le.chen\Documents\tmp\final\app\api\record\case_history_routers.py                        | Python               |         27 |          2 |          6 |         35 |
| c:\Users\le.chen\Documents\tmp\final\app\api\record\medical_record_routers.py                      | Python               |         27 |          2 |          6 |         35 |
| c:\Users\le.chen\Documents\tmp\final\app\api\users.py                                              | Python               |          0 |         59 |         11 |         70 |
| c:\Users\le.chen\Documents\tmp\final\app\core\__init__.py                                          | Python               |          0 |          0 |          1 |          1 |
| c:\Users\le.chen\Documents\tmp\final\app\core\config.py                                            | Python               |          6 |          9 |          6 |         21 |
| c:\Users\le.chen\Documents\tmp\final\app\core\logger.py                                            | Python               |         12 |          0 |          1 |         13 |
| c:\Users\le.chen\Documents\tmp\final\app\crud\__init__.py                                          | Python               |          0 |          0 |          1 |          1 |
| c:\Users\le.chen\Documents\tmp\final\app\crud\ambulance\basic_check.py                             | Python               |         17 |          0 |          7 |         24 |
| c:\Users\le.chen\Documents\tmp\final\app\crud\ambulance\crud_ambulance.py                          | Python               |         17 |          0 |          7 |         24 |
| c:\Users\le.chen\Documents\tmp\final\app\crud\ambulance\crud_operation_history.py                  | Python               |         31 |          0 |         10 |         41 |
| c:\Users\le.chen\Documents\tmp\final\app\crud\case_history.py                                      | Python               |         17 |          0 |          5 |         22 |
| c:\Users\le.chen\Documents\tmp\final\app\crud\chat.py                                              | Python               |        121 |         13 |         16 |        150 |
| c:\Users\le.chen\Documents\tmp\final\app\crud\check\check_crud.py                                  | Python               |         17 |          0 |          8 |         25 |
